"dataset","configuration","seed","logit_source","calibration","temperature","test_samples","accuracy_pct","ece15_pct","nll","multiclass_brier","aurc"
"NPD-Rice-COCO-43","flat","2026","native_manifest_val_test_logits","raw","1.0","9333","99.39997857066324","0.3827987877286412","0.02960303903230356","0.01023483712103115","0.00016332762207852254"
"NPD-Rice-COCO-43","flat","2026","native_manifest_val_test_logits","temperature_scaled","1.5863475089560872","9333","99.39997857066324","0.2424761175155079","0.022620168819439235","0.009769476958740747","0.00015570207345991856"
"NPD-Rice-COCO-43","flat","2027","native_manifest_val_test_logits","raw","1.0","9333","99.44283724418729","0.45602086491013627","0.03129778155271292","0.010172354185936637","0.0006825368654230822"
"NPD-Rice-COCO-43","flat","2027","native_manifest_val_test_logits","temperature_scaled","1.6447894787767032","9333","99.44283724418729","0.280489342354201","0.022667984308351232","0.009705300204591958","0.0007362230349593603"
"NPD-Rice-COCO-43","flat","2028","native_manifest_val_test_logits","raw","1.0","9333","99.4535519125683","0.37432847685432935","0.024574036354209978","0.009427799560389688","9.091768207367748e-05"
"NPD-Rice-COCO-43","flat","2028","native_manifest_val_test_logits","temperature_scaled","1.5704243404652602","9333","99.4535519125683","0.188279104594105","0.019342904123996817","0.008957895841117265","9.239332224333077e-05"
"NPD-Rice-COCO-43","flat","2029","native_manifest_val_test_logits","raw","1.0","9333","99.48569591771135","0.37563333929454806","0.024985383026569337","0.009023236720703761","8.475776953065814e-05"
"NPD-Rice-COCO-43","flat","2029","native_manifest_val_test_logits","temperature_scaled","1.7148144450450207","9333","99.48569591771135","0.14796379579957694","0.018938638167728852","0.008564750830513248","8.654998693542099e-05"
"NPD-Rice-COCO-43","flat","2030","native_manifest_val_test_logits","raw","1.0","9333","99.34640522875817","0.4238288743211405","0.02864173798197977","0.011157468377919111","0.00010163633706134765"
"NPD-Rice-COCO-43","flat","2030","native_manifest_val_test_logits","temperature_scaled","1.5149818060793523","9333","99.34640522875817","0.2237293515662369","0.02344428818583641","0.010756612125510902","0.00010323179350432715"
"NPD-Rice-COCO-43","flat","2031","native_manifest_val_test_logits","raw","1.0","9333","99.42140790742526","0.3749940664552766","0.023515474654830684","0.009726569539985559","6.585622540365303e-05"
"NPD-Rice-COCO-43","flat","2031","native_manifest_val_test_logits","temperature_scaled","1.4396703048341284","9333","99.42140790742526","0.16304124049230195","0.019592448326371973","0.00920666222835587","6.594695630891217e-05"
