configuration,seed,standard_accuracy_pct,standard_macro_f1_pct,standard_cher_pct,oracle_accuracy_pct,oracle_macro_f1_pct,oracle_accuracy_gain_pp,oracle_macro_f1_gain_pp
flat,2026,91.7943596983575,61.67776663062916,3.501945525291829,94.14965049412899,72.50899698593474,2.355290795771492,10.831230355305587
flat,2027,92.27988016941565,62.81919837471723,3.295341069522399,94.55597259047553,72.87715349295338,2.276092421059883,10.057955118236151
flat,2028,92.22134224028098,62.22770618151643,3.2299163251954135,94.4216796942254,72.53276053918155,2.200337453944423,10.305054357665123
flat,2029,92.20068179470404,62.53048073265863,3.353878998657071,94.51809510691781,73.8148737280998,2.3174133122137675,11.284392995441161
flat,2030,91.95964326297303,61.73486421812758,3.436520780964843,94.29427361316759,73.09957460966785,2.3346303501945553,11.364710391540278
flat,2031,92.06294549085776,62.693071350702986,3.3814262594263282,94.40790606384077,73.12969766105304,2.3449605729830236,10.43662631035005
flat,2032,92.19379497951172,63.281094137318014,3.322888330291657,94.56285940566785,74.13791809429884,2.369064426156131,10.856823956980822
flat,2033,92.29365379980028,62.9720845958986,3.2092558796184703,94.51809510691781,73.66817613913128,2.2244413071175306,10.696091543232678
flat,2034,92.20412520230019,62.78877228409956,3.2471333631761996,94.52842532970628,73.28470622728133,2.324300127406087,10.495933943181779
flat,2035,92.29709720739643,63.72539239566033,3.2333597327915706,94.49054784614856,73.40571124962536,2.1934506387521147,9.68031885396503
dual_none,2026,92.2764367618195,63.01040522488044,3.0956234289452844,94.45267036259082,73.25954886517918,2.1762336007713268,10.24914364029874
dual_none,2027,92.155917495954,62.58445352489688,3.1507179504837985,94.32526428153301,72.879916864908,2.169346785579007,10.295463340011125
dual_none,2028,92.40384284287731,63.40683189712899,3.0370854998106123,94.53875555249475,73.37355265587237,2.1349127096174314,9.966720758743385
dual_none,2029,92.24200268585793,62.74676147072601,3.1748218036568985,94.45955717778314,72.94910223666264,2.217554491925211,10.202340765936635
dual_none,2030,92.31775765297338,63.94648587302233,3.0749629833683416,94.47677421576391,73.6715945572742,2.159016562790528,9.725108684251872
dual_none,2031,92.05950208326159,62.16976836707288,3.288454254330085,94.37691539547536,73.18430107706259,2.3174133122137675,11.01453270998971
dual_none,2032,92.39006921249269,62.59224666063763,3.105953651733756,94.50776488412933,73.29151605954881,2.1176956716366435,10.699269398911182
dual_none,2033,92.42794669605041,64.57816994737742,3.0784063909644983,94.5904066664371,74.61109603524051,2.1624599703866987,10.032926087863093
dual_none,2034,92.24888950105023,62.922436452669984,3.1541613580799557,94.41479287903309,73.1630116802011,2.1659033779828585,10.240575227531112
dual_none,2035,92.19035157191556,64.20434829905639,3.223029510003099,94.41479287903309,74.09976746456535,2.2244413071175306,9.895419165508956
