"dataset","comparison","candidate","reference","metric","direction_of_improvement","n_pairs","paired_seeds","target_pairs","target_pairs_met","equivalence_margin_lower_pp","equivalence_margin_upper_pp","mean_difference_pp","std_difference_pp","standard_error_pp","t_95ci_lower_pp","t_95ci_upper_pp","bootstrap_95ci_lower_pp","bootstrap_95ci_upper_pp","tost_lower_p","tost_upper_p","tost_p","tost_ci_confidence","tost_ci_lower_pp","tost_ci_upper_pp","equivalent_unadjusted","holm_adjusted_tost_p","equivalent_holm_0_05","claim_ready","analysis_status"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","accuracy_pct","higher_is_better","10","2026 2027 2028 2029 2030 2031 2032 2033 2034 2035","10","True","-0.25","0.25","0.05019951087656125","0.1389570758819565","0.04394208567838333","-0.04920439299154213","0.14960341474466463","-0.033466340584371326","0.13000386150083756","3.814170454929158e-05","0.0006960442810960996","0.0006960442810960996","0.9","-0.030351294668257235","0.13075031642137974","True","0.0041266137216001385","True","True","equivalent_within_predeclared_margin"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","macro_f1_pct","higher_is_better","10","2026 2027 2028 2029 2030 2031 2032 2033 2034 2035","10","True","-0.25","0.25","0.19449083829982355","0.4400954678391063","0.1391704066288957","-0.12033449391305051","0.5093161705126976","-0.06106782532077233","0.4535148589749256","0.005469283260449339","0.3496480841762225","0.3496480841762225","0.9","-0.06062423393427013","0.44960591053391724","False","0.699296168352445","False","False","equivalence_not_established"
"MultiCrop-88","dual_none_minus_flat","dual_none","flat","cross_host_error_pct","lower_is_better","10","2026 2027 2028 2029 2030 2031 2032 2033 2034 2035","10","True","-0.25","0.25","-0.029604839747715283","0.04623062169151235","0.014619406219076517","-0.062676234242873","0.0034665547474424276","-0.05534817865877206","-0.0012871669455528534","5.3997335226422774e-08","6.731539684782434e-09","5.3997335226422774e-08","0.9","-0.056403862355621406","-0.002805817139809163","True","4.319786818113822e-07","True","True","equivalent_within_predeclared_margin"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","accuracy_pct","higher_is_better","10","2026 2027 2028 2029 2030 2031 2032 2033 2034 2035","10","True","-0.25","0.25","0.12051926586550366","0.19314484895699566","0.06107776410333032","-0.01764823569195803","0.25868676742296537","0.01205192658655676","0.23897248717330374","9.336374578395282e-05","0.03152225166335354","0.03152225166335354","0.9","0.008556826590120997","0.2324817051408863","True","0.12608900665341416","False","False","equivalence_not_established"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","macro_f1_pct","higher_is_better","10","2026 2027 2028 2029 2030 2031 2032 2033 2034 2035","10","True","-0.25","0.25","0.5711476816140418","0.9702491697696894","0.3068197274359606","-0.12292676251015877","1.2652221257382426","0.017816507589454033","1.1476142300051417","0.012679254805107369","0.8387328408170069","0.8387328408170069","0.9","0.00871247125791974","1.133582891970164","False","0.8387328408170069","False","False","equivalence_not_established"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","cross_host_error_pct","lower_is_better","10","2026 2027 2028 2029 2030 2031 2032 2033 2034 2035","10","True","-0.25","0.25","-0.18284494335594514","0.12167194104657861","0.03847604610409196","-0.2698838066486213","-0.09580608006326896","-0.25825556971178665","-0.11500981371164917","0.05743838388812125","6.659603754107988e-07","0.05743838388812125","0.9","-0.2533758810667336","-0.11231400564515673","False","0.17231515166436376","False","False","equivalence_not_established"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","accuracy_pct","higher_is_better","10","2026 2027 2028 2029 2030 2031 2032 2033 2034 2035","10","True","-0.25","0.25","-0.01071466838101145","0.07525735742599973","0.023798466015154583","-0.06455053874213325","0.043121201980110345","-0.055716275581271194","0.03214400514304287","1.7097328184664066e-06","8.332059399395276e-07","1.7097328184664066e-06","0.9","-0.05433994421070929","0.032910607448686395","True","1.1968129729264846e-05","True","True","equivalent_within_predeclared_margin"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","macro_f1_pct","higher_is_better","10","2026 2027 2028 2029 2030 2031 2032 2033 2034 2035","10","True","-0.25","0.25","-0.054125743489080946","0.13597635113250922","0.04299949774975452","-0.15139736532281686","0.04314587834465497","-0.13562062341317355","0.023138995590824152","0.000687768953600023","2.9191304162396915e-05","0.000687768953600023","0.9","-0.13294867891176676","0.024697191933604867","True","0.0041266137216001385","True","True","equivalent_within_predeclared_margin"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","cross_host_error_pct","lower_is_better","10","2026 2027 2028 2029 2030 2031 2032 2033 2034 2035","10","True","-0.25","0.25","-0.013929068895317689","0.019594795134605093","0.006196418290973773","-0.027946340916284167","8.820312564878849e-05","-0.025715204114432656","-0.003214400514304082","1.4680532796140846e-11","5.406674550871359e-12","1.4680532796140846e-11","0.9","-0.02528780340063324","-0.0025703343900021405","True","1.321247951652676e-10","True","True","equivalent_within_predeclared_margin"
