host_index,host_name,test_images,dual_cher_pct_mean,flat_cher_pct_mean,dual_minus_flat_cher_pp
35,zucchini,100,51.4,53.5,-2.1000000000000014
3,bean,134,47.83582089552239,49.17910447761194,-1.3432835820895548
25,plum,115,44.26086956521739,45.652173913043484,-1.3913043478260931
32,tobacco,63,34.6031746031746,38.25396825396825,-3.650793650793652
5,broccoli,83,36.024096385542165,36.3855421686747,-0.36144578313253106
18,ginger,69,35.21739130434783,35.94202898550724,-0.7246376811594146
9,cauliflower,63,34.44444444444444,35.238095238095234,-0.7936507936507908
16,eggplant,82,25.73170731707317,26.95121951219512,-1.2195121951219505
15,cucumber,195,23.641025641025642,25.94871794871795,-2.3076923076923066
20,lettuce,92,25.869565217391305,24.891304347826086,0.9782608695652186
17,garlic,108,17.5,18.425925925925927,-0.9259259259259274
10,celery,63,16.19047619047619,16.825396825396826,-0.6349206349206362
6,cabbage,160,15.5,16.75,-1.25
7,carrot,32,15.3125,13.4375,1.875
28,rice,130,13.30769230769231,12.846153846153845,0.46153846153846523
21,maple,92,9.891304347826088,11.630434782608695,-1.7391304347826075
12,citrus,154,7.467532467532467,9.155844155844155,-1.6883116883116882
2,basil,136,7.720588235294118,8.529411764705882,-0.8088235294117645
30,squash,595,6.873949579831932,7.19327731092437,-0.3193277310924376
13,coffee,94,7.765957446808511,5.531914893617021,2.2340425531914905
29,soybean,716,4.636871508379889,5.0,-0.3631284916201114
11,cherry,1013,4.827245804540968,4.866732477788746,-0.03948667324777855
4,blueberry,591,3.7563451776649748,4.247038917089679,-0.49069373942470396
1,banana,190,3.0526315789473686,3.2105263157894735,-0.15789473684210487
0,apple,2273,2.855257369115706,3.0004399472063352,-0.1451825780906293
24,pepper,1121,2.5958965209634255,2.792149866190901,-0.1962533452274755
26,potato,1606,1.86799501867995,2.104607721046077,-0.23661270236612708
27,raspberry,532,1.6353383458646615,1.8984962406015036,-0.26315789473684204
19,grape,2044,1.5166340508806262,1.6046966731898238,-0.08806262230919759
34,wheat,1599,1.5196998123827394,1.5634771732332708,-0.04377736085053141
23,peach,1047,1.3944603629417383,1.4708691499522444,-0.07640878701050613
33,tomato,5849,0.9882031116430159,1.1266883227902205,-0.13848521114720458
14,corn,2122,0.9283694627709707,1.0603204524033931,-0.13195098963242247
31,strawberry,993,0.8459214501510575,0.9869083585095669,-0.14098690835850947
22,orange,503,0.07952286282306162,0.07952286282306162,0.0
8,cassava,4282,0.044371788883699206,0.03503035964502569,0.009341429238673517
