metric,configuration,seeds,mean,std,dual_minus_flat_mean_pp,dual_minus_flat_95ci_lower_pp,dual_minus_flat_95ci_upper_pp
family_balanced_accuracy_pct,flat,10,99.03330539977225,0.096201001110877,-0.012892412815062926,-0.08288954731407794,0.05710472168395209
family_balanced_accuracy_pct,dual_none,10,99.02041298695718,0.03781750008222663,-0.012892412815062926,-0.08288954731407794,0.05710472168395209
family_balanced_macro_f1_pct,flat,10,98.52154681061891,0.1303435987694002,-0.030668298235471524,-0.13524167652585467,0.07390508005491163
family_balanced_macro_f1_pct,dual_none,10,98.49087851238345,0.06616476176214688,-0.030668298235471524,-0.13524167652585467,0.07390508005491163
family_balanced_cher_pct,flat,10,0.02161627881991448,0.015701361583138475,-0.010958550892799587,-0.024104235394423953,0.0021871336088247796
family_balanced_cher_pct,dual_none,10,0.010657727927114892,0.006083616190871789,-0.010958550892799587,-0.024104235394423953,0.0021871336088247796
