"dataset","configuration","seed","accuracy_pct","macro_f1_pct","cross_host_error_pct"
"Agri-Foundation-145k","dual_none","2026","92.2764367618195","63.01040522488044","3.0956234289452844"
"Agri-Foundation-145k","dual_none","2027","92.155917495954","62.58445352489688","3.1507179504837985"
"Agri-Foundation-145k","dual_none","2028","92.40384284287731","63.40683189712899","3.0370854998106123"
"Agri-Foundation-145k","dual_none","2029","92.24200268585793","62.74676147072601","3.1748218036568985"
"Agri-Foundation-145k","dual_none","2030","92.31775765297338","63.94648587302233","3.0749629833683416"
"Agri-Foundation-145k","dual_mae","2026","92.28676698460797","63.057702201181755","3.1197272821183843"
"Agri-Foundation-145k","dual_mae","2027","92.29365379980028","63.5676451474794","3.116283874522227"
"Agri-Foundation-145k","dual_mae","2028","92.02162459970387","62.09480578623139","3.2746806239454562"
"Agri-Foundation-145k","dual_mae","2029","91.98719052374229","62.00102688021983","3.288454254330085"
"Agri-Foundation-145k","dual_mae","2030","92.03195482249234","62.726252947015446","3.240246547983885"
"Agri-Foundation-145k","dual_kl","2026","92.42794669605041","63.491540757776576","3.116283874522227"
"Agri-Foundation-145k","dual_kl","2027","92.33497469095417","63.610958647782645","3.006094831445198"
"Agri-Foundation-145k","dual_kl","2028","92.37629558210806","63.402503450243664","3.0474157225990837"
"Agri-Foundation-145k","dual_kl","2029","92.39006921249269","63.3943635030292","3.0164250542336695"
"Agri-Foundation-145k","dual_kl","2030","92.41072965806963","63.890312593467634","2.981990978272098"
