"dataset","comparison","candidate","reference","seed","metric","direction_of_improvement","candidate_value_pct","reference_value_pct","paired_difference_pp","within_equivalence_margin"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2031","accuracy_pct","higher_is_better","92.05950208326159","92.06294549085776","-0.003443407596165571","True"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2032","accuracy_pct","higher_is_better","92.39006921249269","92.19379497951172","0.19627423298096858","True"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2033","accuracy_pct","higher_is_better","92.42794669605041","92.29365379980028","0.1342928962501304","True"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2034","accuracy_pct","higher_is_better","92.24888950105023","92.20412520230019","0.044764298750038733","True"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2035","accuracy_pct","higher_is_better","92.19035157191556","92.29709720739643","-0.1067456354808769","True"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2026","macro_f1_pct","higher_is_better","63.01040522488044","61.67776663062916","1.3326385942512786","False"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2027","macro_f1_pct","higher_is_better","62.58445352489688","62.81919837471723","-0.23474484982035193","True"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2028","macro_f1_pct","higher_is_better","63.40683189712899","62.22770618151643","1.1791257156125567","False"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2029","macro_f1_pct","higher_is_better","62.74676147072601","62.53048073265863","0.21628073806737547","True"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2030","macro_f1_pct","higher_is_better","63.94648587302233","61.73486421812758","2.211621654894749","False"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2031","macro_f1_pct","higher_is_better","62.16976836707288","62.693071350702986","-0.52330298363011","False"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2032","macro_f1_pct","higher_is_better","62.59224666063763","63.281094137318014","-0.6888474766803867","False"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2033","macro_f1_pct","higher_is_better","64.57816994737742","62.9720845958986","1.6060853514788178","False"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2034","macro_f1_pct","higher_is_better","62.922436452669984","62.78877228409956","0.1336641685704265","True"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2035","macro_f1_pct","higher_is_better","64.20434829905639","63.72539239566033","0.47895590339606287","False"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2026","cross_host_error_pct","lower_is_better","3.0956234289452844","3.501945525291829","-0.40632209634654437","False"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2027","cross_host_error_pct","lower_is_better","3.1507179504837985","3.295341069522399","-0.14462311903860048","True"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2028","cross_host_error_pct","lower_is_better","3.0370854998106123","3.229916325195413","-0.19283082538480079","True"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2029","cross_host_error_pct","lower_is_better","3.1748218036568985","3.353878998657071","-0.1790571950001727","True"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2030","cross_host_error_pct","lower_is_better","3.0749629833683416","3.436520780964843","-0.3615577975965012","False"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2031","cross_host_error_pct","lower_is_better","3.288454254330085","3.3814262594263282","-0.09297200509624304","True"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2032","cross_host_error_pct","lower_is_better","3.105953651733756","3.322888330291657","-0.21693467855790116","True"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2033","cross_host_error_pct","lower_is_better","3.0784063909644983","3.2092558796184703","-0.13084948865397195","True"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2034","cross_host_error_pct","lower_is_better","3.1541613580799557","3.2471333631761996","-0.09297200509624393","True"
"Agri-Foundation-145k","dual_none_minus_flat","dual_none","flat","2035","cross_host_error_pct","lower_is_better","3.223029510003099","3.2333597327915706","-0.010330222788471843","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2026","accuracy_pct","higher_is_better","99.34640522875817","99.39997857066324","-0.05357334190506435","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2027","accuracy_pct","higher_is_better","99.4535519125683","99.44283724418729","0.01071466838101287","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2028","accuracy_pct","higher_is_better","99.43212257580628","99.4535519125683","-0.02142933676202574","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2029","accuracy_pct","higher_is_better","99.37854923390121","99.48569591771135","-0.10714668381014292","True"
