frequency_bin,classes,training_images,flat_macro_f1_pct_mean,flat_macro_f1_pct_sd,dual_macro_f1_pct_mean,dual_macro_f1_pct_sd,dual_minus_flat_f1_pp,paired_95ci_lower_pp,paired_95ci_upper_pp
1--25,42,610,30.07061089065733,2.0346407001681994,30.941531274514467,3.127890041328445,0.8709203838571359,-1.6771760681377752,3.4190168358520467
26--100,81,4181,52.52783448183502,0.8495678038582012,53.12790581465771,0.729432609387451,0.6000713328226815,-0.1735393719026579,1.373682037548021
101--500,42,7344,75.32668866884022,0.5651854967154955,76.18086625925226,0.36865901722052896,0.8541775904120371,0.5327191039377429,1.1756360768863314
>500,50,80436,95.74486179702058,0.12940780627371645,95.77959897040212,0.10141513188312613,0.03473717338152653,-0.09495718223913648,0.16443152900218955
