"dataset","configuration","seed","calibration","coverage","retained_images","selective_risk_pct","confidence_threshold"
"NPD-Rice-COCO-43","flat","2026","raw","0.2836172720454302","2647","0.0","0.9999999995527824"
"NPD-Rice-COCO-43","flat","2026","raw","0.28854601950069647","2693","0.0","0.9999999995292574"
"NPD-Rice-COCO-43","flat","2026","raw","0.2935819136397729","2740","0.0","0.9999999994915467"
"NPD-Rice-COCO-43","flat","2026","raw","0.2985106610950391","2786","0.0","0.999999999466282"
"NPD-Rice-COCO-43","flat","2026","raw","0.3035465552341155","2833","0.0","0.9999999994340933"
"NPD-Rice-COCO-43","flat","2026","raw","0.3084753026893818","2879","0.0","0.9999999994146624"
"NPD-Rice-COCO-43","flat","2026","raw","0.3135111968284582","2926","0.0","0.9999999993788586"
"NPD-Rice-COCO-43","flat","2026","raw","0.3184399442837244","2972","0.0","0.9999999993436299"
"NPD-Rice-COCO-43","flat","2026","raw","0.3233686917389907","3018","0.0","0.9999999993063988"
"NPD-Rice-COCO-43","flat","2026","raw","0.3284045858780671","3065","0.0","0.9999999992668467"
"NPD-Rice-COCO-43","flat","2026","raw","0.3333333333333333","3111","0.0","0.999999999219652"
"NPD-Rice-COCO-43","flat","2026","raw","0.3383692274724097","3158","0.0","0.9999999991730371"
"NPD-Rice-COCO-43","flat","2026","raw","0.343297974927676","3204","0.0","0.9999999991206705"
"NPD-Rice-COCO-43","flat","2026","raw","0.3483338690667524","3251","0.0","0.999999999060434"
"NPD-Rice-COCO-43","flat","2026","raw","0.3532626165220186","3297","0.0","0.9999999990042738"
"NPD-Rice-COCO-43","flat","2026","raw","0.3581913639772849","3343","0.0","0.9999999989383281"
"NPD-Rice-COCO-43","flat","2026","raw","0.3632272581163613","3390","0.0","0.999999998882209"
"NPD-Rice-COCO-43","flat","2026","raw","0.36815600557162753","3436","0.0","0.9999999988284385"
"NPD-Rice-COCO-43","flat","2026","raw","0.37319189971070393","3483","0.0","0.9999999987629171"
"NPD-Rice-COCO-43","flat","2026","raw","0.3781206471659702","3529","0.0","0.999999998674771"
"NPD-Rice-COCO-43","flat","2026","raw","0.3831565413050466","3576","0.0","0.9999999986168249"
"NPD-Rice-COCO-43","flat","2026","raw","0.38808528876031284","3622","0.0","0.9999999985368406"
"NPD-Rice-COCO-43","flat","2026","raw","0.3930140362155791","3668","0.0","0.9999999984639556"
"NPD-Rice-COCO-43","flat","2026","raw","0.3980499303546555","3715","0.0","0.9999999983831624"
"NPD-Rice-COCO-43","flat","2026","raw","0.4029786778099218","3761","0.0","0.9999999982944492"
"NPD-Rice-COCO-43","flat","2026","raw","0.4080145719489982","3808","0.0","0.999999998186337"
"NPD-Rice-COCO-43","flat","2026","raw","0.41294331940426443","3854","0.0","0.9999999981021557"
"NPD-Rice-COCO-43","flat","2026","raw","0.41797921354334083","3901","0.0","0.999999998002038"
"NPD-Rice-COCO-43","flat","2026","raw","0.4229079609986071","3947","0.0","0.9999999978570882"
"NPD-Rice-COCO-43","flat","2026","raw","0.42783670845387334","3993","0.0","0.9999999977671306"
"NPD-Rice-COCO-43","flat","2026","raw","0.43287260259294974","4040","0.0","0.9999999976276055"
"NPD-Rice-COCO-43","flat","2026","raw","0.437801350048216","4086","0.0","0.9999999975027216"
"NPD-Rice-COCO-43","flat","2026","raw","0.4428372441872924","4133","0.0","0.9999999973770137"
"NPD-Rice-COCO-43","flat","2026","raw","0.44776599164255865","4179","0.0","0.9999999972404601"
"NPD-Rice-COCO-43","flat","2026","raw","0.45280188578163505","4226","0.0","0.9999999971020128"
"NPD-Rice-COCO-43","flat","2026","raw","0.45773063323690133","4272","0.0","0.9999999969728484"
"NPD-Rice-COCO-43","flat","2026","raw","0.46276652737597773","4319","0.0","0.9999999968179978"
"NPD-Rice-COCO-43","flat","2026","raw","0.46769527483124396","4365","0.0","0.9999999966561919"
"NPD-Rice-COCO-43","flat","2026","raw","0.47262402228651024","4411","0.0","0.9999999964826805"
"NPD-Rice-COCO-43","flat","2026","raw","0.47765991642558664","4458","0.0","0.9999999962912693"
"NPD-Rice-COCO-43","flat","2026","raw","0.48258866388085286","4504","0.022202486678507993","0.9999999961134856"
"NPD-Rice-COCO-43","flat","2026","raw","0.48762455801992927","4551","0.021973192704900023","0.9999999958864363"
"NPD-Rice-COCO-43","flat","2026","raw","0.49255330547519555","4597","0.021753317380900587","0.9999999956579328"
"NPD-Rice-COCO-43","flat","2026","raw","0.49758919961427195","4644","0.02153316106804479","0.999999995394002"
"NPD-Rice-COCO-43","flat","2026","raw","0.5025179470695382","4690","0.021321961620469083","0.9999999952233267"
"NPD-Rice-COCO-43","flat","2026","raw","0.5074466945248045","4736","0.021114864864864864","0.999999995015076"
"NPD-Rice-COCO-43","flat","2026","raw","0.5124825886638809","4783","0.02090738030524775","0.9999999947592251"
"NPD-Rice-COCO-43","flat","2026","raw","0.5174113361191471","4829","0.02070822116380203","0.9999999945375595"
"NPD-Rice-COCO-43","flat","2026","raw","0.5224472302582235","4876","0.020508613617719443","0.9999999942867523"
"NPD-Rice-COCO-43","flat","2026","raw","0.5273759777134898","4922","0.02031694433157253","0.9999999940107569"
"NPD-Rice-COCO-43","flat","2026","raw","0.5324118718525661","4969","0.02012477359629704","0.9999999936398651"
"NPD-Rice-COCO-43","flat","2026","raw","0.5373406193078324","5015","0.019940179461615155","0.9999999933100048"
"NPD-Rice-COCO-43","flat","2026","raw","0.5422693667630987","5061","0.019758940920766646","0.9999999929067722"
"NPD-Rice-COCO-43","flat","2026","raw","0.5473052609021751","5108","0.01957713390759593","0.9999999924271831"
"NPD-Rice-COCO-43","flat","2026","raw","0.5522340083574413","5154","0.019402405898331393","0.999999992159409"
"NPD-Rice-COCO-43","flat","2026","raw","0.5572699024965178","5201","0.019227071716977504","0.9999999917071246"
"NPD-Rice-COCO-43","flat","2026","raw","0.562198649951784","5247","0.01905850962454736","0.9999999913393444"
"NPD-Rice-COCO-43","flat","2026","raw","0.5672345440908604","5294","0.018889308651303362","0.9999999908945013"
"NPD-Rice-COCO-43","flat","2026","raw","0.5721632915461267","5340","0.018726591760299626","0.9999999904826297"
"NPD-Rice-COCO-43","flat","2026","raw","0.5770920390013929","5386","0.01856665428889714","0.9999999901526705"
"NPD-Rice-COCO-43","flat","2026","raw","0.5821279331404693","5433","0.018406037180195105","0.9999999895922426"
"NPD-Rice-COCO-43","flat","2026","raw","0.5870566805957356","5479","0.01825150574922431","0.9999999890635384"
"NPD-Rice-COCO-43","flat","2026","raw","0.5920925747348119","5526","0.018096272167933407","0.9999999884432539"
"NPD-Rice-COCO-43","flat","2026","raw","0.5970213221900782","5572","0.017946877243359655","0.9999999878187132"
"NPD-Rice-COCO-43","flat","2026","raw","0.6020572163291547","5619","0.01779676098949991","0.9999999871917494"
"NPD-Rice-COCO-43","flat","2026","raw","0.6069859637844208","5665","0.0176522506619594","0.9999999864001565"
"NPD-Rice-COCO-43","flat","2026","raw","0.6119147112396871","5711","0.01751006828926633","0.9999999853212658"
"NPD-Rice-COCO-43","flat","2026","raw","0.6169506053787636","5758","0.01736714136853074","0.9999999844254264"
"NPD-Rice-COCO-43","flat","2026","raw","0.6218793528340298","5804","0.017229496898690556","0.9999999835568574"
"NPD-Rice-COCO-43","flat","2026","raw","0.6269152469731062","5851","0.017091095539224065","0.9999999826275733"
"NPD-Rice-COCO-43","flat","2026","raw","0.6318439944283725","5897","0.016957775139901647","0.9999999819878967"
"NPD-Rice-COCO-43","flat","2026","raw","0.6368798885674488","5944","0.016823687752355317","0.9999999809334604"
"NPD-Rice-COCO-43","flat","2026","raw","0.6418086360227151","5990","0.01669449081803005","0.9999999798280732"
"NPD-Rice-COCO-43","flat","2026","raw","0.6467373834779814","6036","0.01656726308813784","0.9999999788599121"
"NPD-Rice-COCO-43","flat","2026","raw","0.6517732776170577","6083","0.01643925694558606","0.9999999777992068"
"NPD-Rice-COCO-43","flat","2026","raw","0.656702025072324","6129","0.01631587534671235","0.999999976439336"
"NPD-Rice-COCO-43","flat","2026","raw","0.6617379192114005","6176","0.016191709844559588","0.9999999751374138"
"NPD-Rice-COCO-43","flat","2026","raw","0.6666666666666666","6222","0.01607200257152041","0.9999999738152041"
"NPD-Rice-COCO-43","flat","2026","raw","0.6717025608057431","6269","0.01595150741745095","0.9999999724052261"
"NPD-Rice-COCO-43","flat","2026","raw","0.6766313082610094","6315","0.015835312747426764","0.9999999706101912"
"NPD-Rice-COCO-43","flat","2026","raw","0.6815600557162755","6361","0.015720798616569723","0.9999999685257274"
"NPD-Rice-COCO-43","flat","2026","raw","0.686595949855352","6408","0.015605493133583021","0.9999999667445114"
"NPD-Rice-COCO-43","flat","2026","raw","0.6915246973106183","6454","0.015494267121165169","0.999999965332426"
"NPD-Rice-COCO-43","flat","2026","raw","0.6965605914496946","6501","0.015382248884786957","0.9999999626208115"
"NPD-Rice-COCO-43","flat","2026","raw","0.7014893389049609","6547","0.01527417137620284","0.9999999604664189"
"NPD-Rice-COCO-43","flat","2026","raw","0.7065252330440372","6594","0.015165301789505611","0.999999958390821"
"NPD-Rice-COCO-43","flat","2026","raw","0.7114539804993035","6640","0.015060240963855423","0.9999999557990944"
"NPD-Rice-COCO-43","flat","2026","raw","0.7163827279545698","6686","0.014956625785222853","0.9999999530552901"
"NPD-Rice-COCO-43","flat","2026","raw","0.7214186220936462","6733","0.014852220406950839","0.9999999506500101"
"NPD-Rice-COCO-43","flat","2026","raw","0.7263473695489124","6779","0.014751438265230862","0.9999999475333802"
"NPD-Rice-COCO-43","flat","2026","raw","0.7313832636879889","6826","0.01464986815118664","0.9999999443525329"
"NPD-Rice-COCO-43","flat","2026","raw","0.7363120111432551","6872","0.014551804423748545","0.9999999406940521"
"NPD-Rice-COCO-43","flat","2026","raw","0.7413479052823315","6919","0.01445295562942622","0.9999999372047517"
"NPD-Rice-COCO-43","flat","2026","raw","0.7462766527375978","6965","0.014357501794687725","0.9999999336062204"
"NPD-Rice-COCO-43","flat","2026","raw","0.7512054001928641","7011","0.014263300527742119","0.9999999294473992"
"NPD-Rice-COCO-43","flat","2026","raw","0.7562412943319404","7058","0.014168319637291017","0.9999999244586738"
"NPD-Rice-COCO-43","flat","2026","raw","0.7611700417872067","7104","0.014076576576576577","0.9999999185661623"
"NPD-Rice-COCO-43","flat","2026","raw","0.766205935926283","7151","0.013984058173682003","0.999999912436795"
"NPD-Rice-COCO-43","flat","2026","raw","0.7711346833815493","7197","0.013894678338196471","0.9999999063291635"
"NPD-Rice-COCO-43","flat","2026","raw","0.7761705775206257","7244","0.01380452788514633","0.9999999016543012"
"NPD-Rice-COCO-43","flat","2026","raw","0.781099324975892","7290","0.013717421124828533","0.9999998943366691"
"NPD-Rice-COCO-43","flat","2026","raw","0.7860280724311582","7336","0.013631406761177755","0.9999998844412767"
"NPD-Rice-COCO-43","flat","2026","raw","0.7910639665702347","7383","0.013544629554381689","0.999999874997877"
"NPD-Rice-COCO-43","flat","2026","raw","0.7959927140255009","7429","0.013460761879122358","0.9999998656888611"
"NPD-Rice-COCO-43","flat","2026","raw","0.8010286081645773","7476","0.013376136971642588","0.9999998547711881"
"NPD-Rice-COCO-43","flat","2026","raw","0.8059573556198436","7522","0.013294336612603033","0.9999998441576764"
"NPD-Rice-COCO-43","flat","2026","raw","0.81099324975892","7569","0.01321178491214163","0.9999998317841853"
"NPD-Rice-COCO-43","flat","2026","raw","0.8159219972141862","7615","0.013131976362442548","0.9999998155258313"
"NPD-Rice-COCO-43","flat","2026","raw","0.8209578913532626","7662","0.013051422605063952","0.9999997970116613"
"NPD-Rice-COCO-43","flat","2026","raw","0.8258866388085289","7708","0.012973533990659055","0.9999997780261878"
"NPD-Rice-COCO-43","flat","2026","raw","0.8308153862637951","7754","0.012896569512509674","0.9999997594753459"
"NPD-Rice-COCO-43","flat","2026","raw","0.8358512804028715","7801","0.012818869375721062","0.9999997305074737"
"NPD-Rice-COCO-43","flat","2026","raw","0.8407800278581378","7847","0.012743723716069836","0.9999997027064582"
"NPD-Rice-COCO-43","flat","2026","raw","0.8458159219972142","7894","0.01266784899923993","0.9999996673134416"
"NPD-Rice-COCO-43","flat","2026","raw","0.8507446694524804","7940","0.012594458438287152","0.9999996143703155"
"NPD-Rice-COCO-43","flat","2026","raw","0.8557805635915569","7987","0.0125203455615375","0.999999554352902"
"NPD-Rice-COCO-43","flat","2026","raw","0.8607093110468231","8033","0.012448649321548613","0.9999994826915346"
"NPD-Rice-COCO-43","flat","2026","raw","0.8656380585020894","8079","0.012377769525931427","0.9999994132973735"
"NPD-Rice-COCO-43","flat","2026","raw","0.8706739526411658","8126","0.012306177701206004","0.999999311247575"
"NPD-Rice-COCO-43","flat","2026","raw","0.875602700096432","8172","0.012236906510034264","0.9999992011150213"
"NPD-Rice-COCO-43","flat","2026","raw","0.8806385942355084","8219","0.012166930283489474","0.9999990897332783"
"NPD-Rice-COCO-43","flat","2026","raw","0.8855673416907747","8265","0.012099213551119177","0.999998903405006"
"NPD-Rice-COCO-43","flat","2026","raw","0.890603235829851","8312","0.012030798845043312","0.9999986716786217"
"NPD-Rice-COCO-43","flat","2026","raw","0.8955319832851173","8358","0.011964584828906437","0.9999984218627064"
"NPD-Rice-COCO-43","flat","2026","raw","0.9004607307403836","8404","0.011899095668729176","0.9999980326790584"
"NPD-Rice-COCO-43","flat","2026","raw","0.90549662487946","8451","0.011832919181161992","0.9999974420796509"
"NPD-Rice-COCO-43","flat","2026","raw","0.9104253723347262","8497","0.011768859597505002","0.9999968495722014"
"NPD-Rice-COCO-43","flat","2026","raw","0.9154612664738027","8544","0.011704119850187267","0.9999958848676701"
"NPD-Rice-COCO-43","flat","2026","raw","0.9203900139290689","8590","0.023282887077997673","0.999994646736413"
"NPD-Rice-COCO-43","flat","2026","raw","0.9254259080681453","8637","0.02315618849137432","0.9999930894425216"
"NPD-Rice-COCO-43","flat","2026","raw","0.9303546555234116","8683","0.023033513762524473","0.9999909227587281"
"NPD-Rice-COCO-43","flat","2026","raw","0.9352834029786778","8729","0.03436819796082025","0.9999873344054987"
"NPD-Rice-COCO-43","flat","2026","raw","0.9403192971177542","8776","0.034184138559708296","0.9999818403299247"
"NPD-Rice-COCO-43","flat","2026","raw","0.9452480445730205","8822","0.034005894355021535","0.9999729350528386"
"NPD-Rice-COCO-43","flat","2026","raw","0.9502839387120968","8869","0.045100913293494194","0.9999571865475583"
"NPD-Rice-COCO-43","flat","2026","raw","0.9552126861673631","8915","0.0448681996634885","0.9999184250666396"
"NPD-Rice-COCO-43","flat","2026","raw","0.9602485803064396","8962","0.06694934166480697","0.9998018563010316"
"NPD-Rice-COCO-43","flat","2026","raw","0.9651773277617057","9008","0.06660746003552398","0.999402838924667"
"NPD-Rice-COCO-43","flat","2026","raw","0.970106075216972","9054","0.06626905235255136","0.9985639362290241"
"NPD-Rice-COCO-43","flat","2026","raw","0.9751419693560485","9101","0.09889023184265465","0.9970190918417682"
"NPD-Rice-COCO-43","flat","2026","raw","0.9800707168113146","9147","0.1639881928501148","0.9939738277670039"
"NPD-Rice-COCO-43","flat","2026","raw","0.9851066109503911","9194","0.21753317380900586","0.9816362188825478"
"NPD-Rice-COCO-43","flat","2026","raw","0.9900353584056574","9240","0.27056277056277056","0.9466183734307755"
"NPD-Rice-COCO-43","flat","2026","raw","0.9950712525447337","9287","0.3768708947991817","0.8319550005183612"
"NPD-Rice-COCO-43","flat","2026","raw","1.0","9333","0.6000214293367621","0.3770001968956629"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.009964641594342655","93","0.0","0.9999999466153651"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.01500053573341905","140","0.0","0.9999999347036495"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.01992928318868531","186","0.0","0.9999999227484206"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.024965177327761705","233","0.0","0.9999999077407374"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.029893924783027964","279","0.0","0.9999998942660292"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.034822672238294224","325","0.0","0.9999998767152073"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.03985856637737062","372","0.0","0.9999998590188007"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.04478731383263688","418","0.0","0.9999998390533199"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.049823207971713274","465","0.0","0.9999998137455548"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.05475195542697953","511","0.0","0.9999997994149987"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.05978784956605593","558","0.0","0.9999997692355405"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.0647165970213222","604","0.0","0.9999997385817168"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.06964534447658845","650","0.0","0.9999997047707733"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.07468123861566485","697","0.0","0.999999671132322"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.0796099860709311","743","0.0","0.9999996319806754"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.0846458802100075","790","0.0","0.9999995921091446"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.08957462766527376","836","0.0","0.9999995524844028"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.09461052180435016","883","0.0","0.99999951449933"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.09953926925961641","929","0.0","0.9999994703123215"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.10457516339869281","976","0.0","0.9999994238388941"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.10950391085395907","1022","0.0","0.999999372677901"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.11443265830922533","1068","0.0","0.9999993276102981"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.11946855244830172","1115","0.0","0.9999992745979198"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.12439729990356799","1161","0.0","0.9999992390896802"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.1294331940426444","1208","0.0","0.9999991859350118"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.13436194149791064","1254","0.0","0.9999991280464919"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.13939783563698704","1301","0.0","0.9999990694203353"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.1443265830922533","1347","0.0","0.9999990239463276"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.14925533054751955","1393","0.0","0.9999989791986628"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.15429122468659595","1440","0.0","0.9999989324644202"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.1592199721418622","1486","0.0","0.99999883984527"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.1642558662809386","1533","0.0","0.999998784660848"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.16918461373620486","1579","0.0","0.9999987179572895"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.17422050787528126","1626","0.0","0.9999986600423798"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.1791492553305475","1672","0.0","0.999998585742585"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.18407800278581377","1718","0.0","0.9999985296834661"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.18911389692489017","1765","0.0","0.9999984525797829"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.19404264438015642","1811","0.0","0.9999983640726162"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.19907853851923282","1858","0.0","0.9999982870194166"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.2040072859744991","1904","0.0","0.9999982170939912"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.20904318011357548","1951","0.0","0.9999981413157818"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.21397192756884176","1997","0.0","0.9999980729959995"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.218900675024108","2043","0.0","0.9999980100384094"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.2239365691631844","2090","0.0","0.9999979401098219"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.22886531661845066","2136","0.0","0.9999978775545676"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.23390121075752707","2183","0.0","0.9999977864386538"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.23882995821279332","2229","0.0","0.9999976925435179"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.24386585235186972","2276","0.0","0.9999976074353606"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.24879459980713597","2322","0.0","0.9999975206547776"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.25372334726240225","2368","0.0","0.9999974354453809"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.2587592414014786","2415","0.0","0.9999973245257611"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.2636879888567449","2461","0.0","0.9999972166316746"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.2687238829958213","2508","0.0","0.9999970713070546"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.27365263045108756","2554","0.0","0.9999969527817466"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.2786885245901639","2601","0.0","0.9999968093388931"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.2836172720454302","2647","0.0","0.9999966857510392"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.28854601950069647","2693","0.0","0.9999965732974567"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.2935819136397729","2740","0.0","0.9999964214761984"
"NPD-Rice-COCO-43","flat","2026","temperature_scaled","0.2985106610950391","2786","0.0","0.9999962804984122"
