"dataset","configuration","seed","calibration","nonempty_bin_index","mean_confidence","observed_accuracy","sample_fraction"
"NPD-Rice-COCO-43","flat","2028","temperature_scaled","2","0.4952761367017251","0.6666666666666666","0.0012857602057216328"
"NPD-Rice-COCO-43","flat","2028","temperature_scaled","3","0.5672274412820643","0.7","0.0010714668381013607"
"NPD-Rice-COCO-43","flat","2028","temperature_scaled","4","0.6405630921669739","0.5","0.0012857602057216328"
"NPD-Rice-COCO-43","flat","2028","temperature_scaled","5","0.7004927846565411","0.7222222222222222","0.0019286403085824494"
"NPD-Rice-COCO-43","flat","2028","temperature_scaled","6","0.7718836343364922","0.7857142857142857","0.001500053573341905"
"NPD-Rice-COCO-43","flat","2028","temperature_scaled","7","0.8396473715448244","0.7931034482758621","0.003107253830493946"
"NPD-Rice-COCO-43","flat","2028","temperature_scaled","8","0.9041515429302469","0.8636363636363636","0.007071681131468981"
"NPD-Rice-COCO-43","flat","2028","temperature_scaled","9","0.9993757516191103","0.9985820244328097","0.9823207971713276"
"NPD-Rice-COCO-43","flat","2029","raw","0","0.5161278338797896","0.4","0.0005357334190506804"
"NPD-Rice-COCO-43","flat","2029","raw","1","0.5681740970379733","0.6363636363636364","0.0011786135219114969"
"NPD-Rice-COCO-43","flat","2029","raw","2","0.6285191152615152","0.8333333333333334","0.0006428801028608164"
"NPD-Rice-COCO-43","flat","2029","raw","3","0.7100008363820612","0.3333333333333333","0.0006428801028608164"
"NPD-Rice-COCO-43","flat","2029","raw","4","0.7590517383014381","1.0","0.0005357334190506804"
"NPD-Rice-COCO-43","flat","2029","raw","5","0.8420272137330088","0.7272727272727273","0.0011786135219114969"
"NPD-Rice-COCO-43","flat","2029","raw","6","0.9033053403219679","0.75","0.0025715204114432656"
"NPD-Rice-COCO-43","flat","2029","raw","7","0.9996861172477466","0.9970858067997841","0.9927140255009107"
"NPD-Rice-COCO-43","flat","2029","temperature_scaled","0","0.3954512790425857","0.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2029","temperature_scaled","1","0.44168818762063156","0.3333333333333333","0.0003214400514304082"
"NPD-Rice-COCO-43","flat","2029","temperature_scaled","2","0.5062873318228833","0.6","0.0010714668381013607"
"NPD-Rice-COCO-43","flat","2029","temperature_scaled","3","0.5549716228895175","0.7142857142857143","0.001500053573341905"
"NPD-Rice-COCO-43","flat","2029","temperature_scaled","4","0.6361252004159391","0.875","0.0008571734704810886"
"NPD-Rice-COCO-43","flat","2029","temperature_scaled","5","0.7088442060639415","0.75","0.0012857602057216328"
"NPD-Rice-COCO-43","flat","2029","temperature_scaled","6","0.7699297786023964","0.6666666666666666","0.0028929604628736743"
"NPD-Rice-COCO-43","flat","2029","temperature_scaled","7","0.8368536940807564","0.8285714285714286","0.0037501339333547625"
"NPD-Rice-COCO-43","flat","2029","temperature_scaled","8","0.9067813513533631","0.9117647058823529","0.007285974499089253"
"NPD-Rice-COCO-43","flat","2029","temperature_scaled","9","0.999137051000741","0.9986892408519934","0.9809278902817958"
"NPD-Rice-COCO-43","flat","2030","raw","0","0.3758064550543001","0.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2030","raw","1","0.4122207081991788","0.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2030","raw","2","0.5008959941345378","0.6363636363636364","0.0011786135219114969"
"NPD-Rice-COCO-43","flat","2030","raw","3","0.5598733480195237","0.5","0.0004285867352405443"
"NPD-Rice-COCO-43","flat","2030","raw","4","0.6308432858392543","0.7777777777777778","0.0009643201542912247"
"NPD-Rice-COCO-43","flat","2030","raw","5","0.6991826799870329","0.75","0.0012857602057216328"
"NPD-Rice-COCO-43","flat","2030","raw","6","0.7724661797494585","0.6470588235294118","0.0018214936247723133"
"NPD-Rice-COCO-43","flat","2030","raw","7","0.8382514742760534","0.8571428571428571","0.001500053573341905"
