"dataset","configuration","calibration","metric","seeds","mean","std","t_95ci_lower","t_95ci_upper"
"MultiCrop-88","dual_none","raw","ece15_pct","10","1.6289684882740523","0.11171722231588252","1.549050801772551","1.7088861747755535"
"MultiCrop-88","dual_none","raw","nll","10","0.127527798950835","0.0051332154561790615","0.12385571782433122","0.13119988007733877"
"MultiCrop-88","dual_none","raw","multiclass_brier","10","0.03878466117926997","0.0018625673989078701","0.03745226072759249","0.040117061630947456"
"MultiCrop-88","dual_none","raw","aurc","10","0.0012724164006119208","6.176971865049157e-05","0.0012282290057943348","0.0013166037954295067"
"MultiCrop-88","dual_none","temperature_scaled","ece15_pct","10","0.6029968696366611","0.0864466485388437","0.5411566626048524","0.6648370766684698"
"MultiCrop-88","dual_none","temperature_scaled","nll","10","0.0853814695080532","0.00251475447579844","0.08358252252692569","0.0871804164891807"
"MultiCrop-88","dual_none","temperature_scaled","multiclass_brier","10","0.0359705054933028","0.0013166628754394678","0.035028621612498714","0.03691238937410689"
"MultiCrop-88","dual_none","temperature_scaled","aurc","10","0.0013664554288907848","7.165204272060883e-05","0.0013151986453024257","0.0014177122124791439"
"MultiCrop-88","flat","raw","ece15_pct","10","1.6940408560213105","0.09450089761501995","1.6264389862903088","1.7616427257523122"
"MultiCrop-88","flat","raw","nll","10","0.1313714394193835","0.006772817368819588","0.12652645774160062","0.1362164210971664"
"MultiCrop-88","flat","raw","multiclass_brier","10","0.04031810238666248","0.0019931451530865786","0.03889229223676481","0.04174391253656015"
"MultiCrop-88","flat","raw","aurc","10","0.0014197097722075127","0.00014466693650923534","0.0013162212801074544","0.001523198264307571"
"MultiCrop-88","flat","temperature_scaled","ece15_pct","10","0.6408906323700913","0.09152649870489041","0.575416519440615","0.7063647452995675"
"MultiCrop-88","flat","temperature_scaled","nll","10","0.08831677272774928","0.004400740967382927","0.08516867228526609","0.09146487317023247"
"MultiCrop-88","flat","temperature_scaled","multiclass_brier","10","0.037054698307130964","0.00203952054241147","0.03559571320221183","0.038513683412050095"
"MultiCrop-88","flat","temperature_scaled","aurc","10","0.0015734274593333722","0.00014911222010528528","0.001466759002913803","0.0016800959157529413"
"Agri-Foundation-145k","dual_none","raw","ece15_pct","10","5.378170638938833","0.16354043645165042","5.261180858314798","5.495160419562868"
"Agri-Foundation-145k","dual_none","raw","nll","10","0.4569221380031527","0.017548866925655007","0.444368434855615","0.46947584115069035"
"Agri-Foundation-145k","dual_none","raw","multiclass_brier","10","0.12775761942048167","0.001384495659632771","0.1267672108890525","0.12874802795191084"
"Agri-Foundation-145k","dual_none","raw","aurc","10","0.007096757932369156","0.00020758856568272303","0.006948258018303806","0.007245257846434506"
"Agri-Foundation-145k","dual_none","temperature_scaled","ece15_pct","10","1.5603655458644514","0.13791538416990326","1.461706823356476","1.6590242683724268"
"Agri-Foundation-145k","dual_none","temperature_scaled","nll","10","0.29708012712085985","0.0031167715776725794","0.2948505230483836","0.2993097311933361"
"Agri-Foundation-145k","dual_none","temperature_scaled","multiclass_brier","10","0.11142331919558024","0.0011784208624126737","0.1105803276934926","0.11226631069766788"
