configuration,seed,test_images,test_families,family_balanced_accuracy_pct,family_balanced_macro_f1_pct,family_balanced_cher_pct
flat,2026,9333,5171,99.02189561443092,98.56920264730893,0.03051204366230473
flat,2027,9333,5171,99.05025892262404,98.52273866022999,0.008594941876705557
flat,2028,9333,5171,99.10827478029182,98.62831846505017,0.015041148284234725
flat,2029,9333,5171,99.17918305077463,98.74111472244795,0.008594941876705557
flat,2030,9333,5171,98.9632351361224,98.497517151526,0.047272180321880575
flat,2031,9333,5171,99.07088678312815,98.52769719453238,0.013751907002728894
flat,2032,9333,5171,98.88910376243581,98.3429059660348,0.008594941876705557
flat,2033,9333,5171,98.90457465781388,98.30874516263339,0.047272180321880575
flat,2034,9333,5171,99.14050581232945,98.6180728727889,0.008594941876705557
flat,2035,9333,5171,99.00513547777136,98.45915526363676,0.027933561099293062
dual_none,2026,9333,5171,98.95517737811299,98.44152213450407,0.008594941876705557
dual_none,2027,9333,5171,99.06959754184662,98.57364792895929,0.008594941876705557
dual_none,2028,9333,5171,99.0180278905864,98.4381830471323,0.008594941876705557
dual_none,2029,9333,5171,99.05025892262404,98.57143869423749,0.008594941876705557
dual_none,2030,9333,5171,99.00513547777136,98.5091238051413,0.008594941876705557
dual_none,2031,9333,5171,99.05348202582782,98.47895181785915,0.008594941876705557
dual_none,2032,9333,5171,99.02447409699391,98.48944925521138,0.027933561099293062
dual_none,2033,9333,5171,98.99482154751928,98.46052737857171,0.008594941876705557
dual_none,2034,9333,5171,98.97612754893747,98.37599982538077,0.008594941876705557
dual_none,2035,9333,5171,99.05702743935194,98.56994123683708,0.009884183158211391
