class_index,class_name,host_name,training_images,test_images,frequency_bin,dual_f1_pct_mean,flat_f1_pct_mean,dual_minus_flat_f1_pp
158,rice_rice_blast,rice,53,17,26--100,65.20912795912795,65.76583615902501,-0.5567081998970593
181,tomato_early_blight,tomato,1800,563,>500,92.91835362815945,93.50926881155202,-0.5909151833925677
14,banana_panama_disease,banana,95,30,26--100,61.90647825798966,62.51171481684939,-0.6052365588597297
90,cucumber_cucumber_powdery_mildew,cucumber,118,37,101--500,52.0544225690702,52.69410053816951,-0.63967796909931
136,pepper_bell_bell_blossom_end_rot,pepper,70,22,26--100,89.48338198284948,90.14622905074944,-0.6628470678999605
166,soybean_mosaic,soybean,74,23,26--100,57.894557524371194,58.64826148419585,-0.7537039598246551
98,garlic_blight,garlic,34,11,26--100,34.01392810088463,34.81707830295379,-0.8031502020691619
211,zucchini_zucchini_bacterial_wilt,zucchini,44,14,26--100,49.00149599940217,49.84759300457298,-0.8460970051708117
7,banana_banana_anthracnose,banana,44,14,26--100,79.02682273232885,79.97900444938821,-0.9521817170593607
145,plum_plum_pox_virus,plum,20,7,1--25,45.97979797979798,46.94871794871794,-0.9689199689199626
167,soybean_rust,soybean,74,24,26--100,55.627041359682686,56.69349260925287,-1.0664512495701857
176,tobacco_tobacco_brown_spot,tobacco,38,13,26--100,54.77128840755093,55.90788211786422,-1.1365937103132921
95,eggplant_eggplant_phomopsis_fruit_rot,eggplant,29,10,26--100,79.21079436559313,80.382368965893,-1.1715746002998628
37,cabbage_alternaria_spot,cabbage,41,13,26--100,33.04943044073479,34.274936657545354,-1.2255062168105653
135,pepper_bell_bell_bacterial_spot,pepper,45,14,26--100,48.99859307359307,50.266761574013096,-1.2681685004200247
201,wheat_wheat_loose_smut,wheat,122,39,101--500,94.83237251107451,96.18816571770158,-1.3557932066270695
156,rice,rice,160,51,101--500,79.88431272290202,81.28630249442865,-1.4019897715266296
143,plum_plum_brown_rot,plum,48,16,26--100,77.97358958246055,79.37763067103674,-1.404041088576193
72,coffee_coffee_brown_eye_spot,coffee,9,3,1--25,57.76190476190476,59.33333333333333,-1.5714285714285694
69,coffee,coffee,88,28,26--100,81.27527816920556,82.9578660545189,-1.682587885313339
12,banana_banana_cordana_spot,banana,32,11,26--100,62.66837441585052,64.41451668386652,-1.7461422680160013
86,cucumber_angular_spot,cucumber,43,14,26--100,17.264755686723653,19.066155261807435,-1.8013995750837815
197,wheat_wheat_bacterial_streak_(black_chaff),wheat,46,15,26--100,52.50974907445495,54.368304969504365,-1.8585558950494132
16,basil_basil_downy_mildew,basil,40,13,26--100,73.64935853196724,75.61611721611722,-1.9667586841499798
161,soybean_bacterial_blight,soybean,57,18,26--100,64.28298641059551,66.40414461002696,-2.1211581994314486
13,banana_banana_panama_disease,banana,40,13,26--100,33.27627187627188,35.58223616288132,-2.305964286609445
64,cherry_spot,cherry,144,45,101--500,52.675816783915046,55.13408483188125,-2.4582680479662073
180,tomato_black_spot,tomato,69,22,26--100,84.48696063500374,87.04372500013393,-2.556764365130192
74,coffee_rust,coffee,18,6,1--25,39.37085137085137,42.028860028860024,-2.6580086580086544
38,cabbage_cabbage_alternaria_spot,cabbage,35,12,26--100,21.714269305573655,24.52172416759241,-2.807454862018755
178,tobacco_tobacco_mosaic_virus,tobacco,26,9,26--100,40.45421245421245,43.557437144898444,-3.103224690685991
124,peach_anthracnose,peach,8,3,1--25,32.09523809523809,35.52380952380952,-3.4285714285714306
174,tobacco_mosaic_virus,tobacco,31,10,26--100,21.02255308891464,24.46897658584965,-3.446423496935008
42,carrot_carrot_alternaria_blight,carrot,38,12,26--100,69.89789196310934,73.37852437417655,-3.480632411067205
21,bean_bean_rust,bean,73,23,26--100,35.68479177615598,39.248631389503245,-3.5638396133472625
