dataset,configuration,configuration_label,seed,test_samples,host_accuracy_pct,pre_tci_hdr_pct,post_tci_hdr_pct,standard_accuracy_pct,tci_accuracy_pct,delta_accuracy_pp,standard_macro_f1_pct,tci_macro_f1_pct,delta_macro_f1_pp,standard_cher_pct,tci_cher_pct,delta_cher_pp,changed_predictions
Agri-Foundation-145k,dual_kl,Dual + KL(q || p^h),2026,29041,96.97324472297785,0.7816535243276748,0.0,92.42794669605041,92.45549395681967,0.027547260769253512,63.491540757776576,63.55792661294102,0.06638585516444095,3.116283874522227,3.026755277022141,-0.08952859750008635,227
Agri-Foundation-145k,dual_kl,Dual + KL(q || p^h),2027,29041,97.06277332047794,0.9056161977893323,0.0,92.33497469095417,92.35907854412727,0.024103853173102152,63.610958647782645,63.85653355213763,0.24557490435498153,3.006094831445198,2.937226679522055,-0.0688681519231431,263
Agri-Foundation-145k,dual_kl,Dual + KL(q || p^h),2028,29041,97.01112220653559,0.8711821218277608,0.0,92.37629558210806,92.36596535931957,-0.010330222788482502,63.402503450243664,63.443567176365576,0.041063726121912225,3.0474157225990837,2.9888777934644124,-0.05853792913467126,253
Agri-Foundation-145k,dual_kl,Dual + KL(q || p^h),2029,29041,97.00079198374712,0.8746255294239179,0.0,92.39006921249269,92.30398402258876,-0.08608518990392611,63.3943635030292,62.937897407749055,-0.4564660952801418,3.0164250542336695,2.999208016252884,-0.017217037980785665,254
Agri-Foundation-145k,dual_kl,Dual + KL(q || p^h),2030,29041,97.042112874901,0.8711821218277608,0.0,92.41072965806963,92.38318239730037,-0.027547260769253512,63.890312593467634,63.97749248598892,0.08717989252128433,2.981990978272098,2.9578871250989978,-0.024103853173100376,253
Agri-Foundation-145k,dual_mae,Dual + MAE,2026,29041,97.00079198374712,1.0777865775971902,0.0,92.28676698460797,92.33153128335802,0.044764298750052944,63.057702201181755,63.30244351713657,0.24474131595481197,3.1197272821183843,2.999208016252884,-0.12051926586550055,313
Agri-Foundation-145k,dual_mae,Dual + MAE,2027,29041,97.02833924451637,1.1707585826934335,0.0,92.29365379980028,92.2764367618195,-0.01721703798078522,63.5676451474794,63.333048877436084,-0.23459627004331907,3.116283874522227,2.9716607554836267,-0.14462311903860048,340
Agri-Foundation-145k,dual_mae,Dual + MAE,2028,29041,96.82173478874695,1.1328810991357048,0.0,92.02162459970387,92.02506800730002,0.00344340759615136,62.09480578623139,62.14611694106026,0.05131115482886628,3.2746806239454562,3.1782652112530565,-0.09641541269239973,329
Agri-Foundation-145k,dual_mae,Dual + MAE,2029,29041,96.82173478874695,1.1707585826934335,0.0,91.98719052374229,92.00440756172308,0.017217037980799432,62.00102688021983,62.29054293473364,0.289516054513804,3.288454254330085,3.1782652112530565,-0.1101890430770287,340
Agri-Foundation-145k,dual_mae,Dual + MAE,2030,29041,96.78730071278537,1.1879756206742194,0.0,92.03195482249234,91.97341689335767,-0.058537929134672595,62.726252947015446,62.77067939559038,0.0444264485749315,3.240246547983885,3.212699287214628,-0.027547260769257065,345
Agri-Foundation-145k,dual_none,"Dual, no penalty",2026,29041,97.00423539134327,1.1087772459626046,0.0,92.2764367618195,92.29365379980028,0.01721703798078522,63.01040522488044,63.484171051513385,0.47376582663294897,3.0956234289452844,2.9957646086567267,-0.09985882028855775,322
Agri-Foundation-145k,dual_none,"Dual, no penalty",2027,29041,97.04555628249716,1.2361833270204192,0.0,92.155917495954,92.20756860989636,0.051651113942355664,62.58445352489688,62.72903900964176,0.14458548474487998,3.1507179504837985,2.9544437175028406,-0.19627423298095792,359
Agri-Foundation-145k,dual_none,"Dual, no penalty",2028,29041,97.042112874901,1.1087772459626046,0.0,92.40384284287731,92.3728521745119,-0.030990668365404872,63.40683189712899,63.24561209238916,-0.16121980473982944,3.0370854998106123,2.9578871250989978,-0.0791983747116145,322
Agri-Foundation-145k,dual_none,"Dual, no penalty",2029,29041,96.98013153817018,1.2155228814434764,0.0,92.24200268585793,92.26610653903103,0.024103853173102152,62.74676147072601,62.726505743894336,-0.020255726831670984,3.1748218036568985,3.0198684618298266,-0.15495334182707188,353
Agri-Foundation-145k,dual_none,"Dual, no penalty",2030,29041,97.0180090217279,1.098447023174133,0.0,92.31775765297338,92.33497469095417,0.01721703798078522,63.94648587302233,64.30707358128328,0.3605877082609439,3.0749629833683416,2.981990978272098,-0.09297200509624348,319
Agri-Foundation-145k,dual_none,"Dual, no penalty",2031,29041,96.92159360903551,1.1742019902895906,0.0,92.05950208326159,92.11115319720395,0.051651113942355664,62.16976836707288,62.90888148852291,0.7391131214500319,3.288454254330085,3.0784063909644983,-0.2100478633655869,341
Agri-Foundation-145k,dual_none,"Dual, no penalty",2032,29041,97.0593299128818,1.156984952308805,0.0,92.39006921249269,92.38662580489652,-0.003443407596165571,62.59224666063763,63.24516986887539,0.652923208237759,3.105953651733756,2.940670087118212,-0.16528356461554372,336
Agri-Foundation-145k,dual_none,"Dual, no penalty",2033,29041,97.01456561413174,1.0812299851933473,0.0,92.42794669605041,92.40039943528116,-0.027547260769253512,64.57816994737742,64.1661419108255,-0.41202803655191644,3.0784063909644983,2.9854343858682553,-0.09297200509624304,314
Agri-Foundation-145k,dual_none,"Dual, no penalty",2034,29041,96.93881064701628,1.115664061154919,0.0,92.24888950105023,92.23511587066561,-0.01377363038461965,62.922436452669984,62.95441410395634,0.0319776512863541,3.1541613580799557,3.0611893529837126,-0.09297200509624304,324
Agri-Foundation-145k,dual_none,"Dual, no penalty",2035,29041,96.96291450018938,1.1466547295203333,0.0,92.19035157191556,92.26610653903103,0.07575496711547203,64.20434829905639,64.08161848190267,-0.12272981715372566,3.223029510003099,3.0370854998106123,-0.18594401019248652,333
MultiCrop-88,dual_kl,Dual + KL(q || p^h),2026,7769,99.70395160252285,0.0643583472776419,0.0,97.47715278671643,97.45140944780537,-0.025743338911055957,94.35034762771922,94.30469036183258,-0.045657265886632104,0.2831767280216244,0.2960483974771528,0.012871669455528367,5
MultiCrop-88,dual_kl,Dual + KL(q || p^h),2027,7769,99.74256661088943,0.05148667782211353,0.0,97.81181619256017,97.82468786201571,0.012871669455535084,95.37621955906175,95.42165445474707,0.04543489568531811,0.270305058566096,0.2574333891105676,-0.012871669455528367,4
MultiCrop-88,dual_kl,Dual + KL(q || p^h),2028,7769,99.78118161925602,0.0643583472776419,0.0,97.86330287038228,97.90191787874888,0.03861500836659104,95.7362119437266,95.90258610597144,0.1663741622448356,0.24456171965503926,0.2188183807439825,-0.025743338911056762,5
MultiCrop-88,dual_kl,Dual + KL(q || p^h),2029,7769,99.74256661088943,0.07723001673317029,0.0,97.67022782854936,97.72171450637147,0.051486677822111915,94.97624966556482,95.29967327283345,0.32342360726862296,0.30892006693268115,0.2574333891105676,-0.051486677822113525,6
MultiCrop-88,dual_kl,Dual + KL(q || p^h),2030,7769,99.75543828034496,0.07723001673317029,0.0,97.69597116746041,97.70884283691595,0.012871669455535084,95.09834269352775,95.10734295835026,0.009000264822503823,0.270305058566096,0.24456171965503926,-0.025743338911056735,6
MultiCrop-88,dual_mae,Dual + MAE,2026,7769,99.70395160252285,0.09010168618869867,0.0,97.87617453983782,97.83755953147123,-0.03861500836659104,95.542901530402,95.41196062956007,-0.1309409008419351,0.2574333891105676,0.2960483974771528,0.03861500836658516,7
MultiCrop-88,dual_mae,Dual + MAE,2027,7769,99.69107993306731,0.07723001673317029,0.0,97.51576779508302,97.51576779508302,0.0,95.3153745027198,95.31436946384576,-0.0010050388740410199,0.2960483974771528,0.30892006693268115,0.012871669455528367,6
MultiCrop-88,dual_mae,Dual + MAE,2028,7769,99.7296949414339,0.07723001673317029,0.0,97.734586175827,97.74745784528254,0.012871669455535084,95.35341143886524,95.3746521856431,0.02124074677786325,0.2831767280216244,0.270305058566096,-0.012871669455528423,6
MultiCrop-88,dual_mae,Dual + MAE,2029,7769,99.66533659415626,0.09010168618869867,0.0,97.67022782854936,97.67022782854936,0.0,95.35845484904067,95.39268846608611,0.034233617045444475,0.33466340584373794,0.33466340584373794,0.0,7
MultiCrop-88,dual_mae,Dual + MAE,2030,7769,99.75543828034496,0.025743338911056766,0.0,97.86330287038228,97.86330287038228,0.0,95.88608314781656,95.91828329606578,0.03220014824921691,0.24456171965503926,0.24456171965503926,0.0,2
MultiCrop-88,dual_none,"Dual, no penalty",2026,7769,99.71682327197837,0.1287166945552838,0.0,97.54151113399408,97.5543828034496,0.012871669455520873,94.99792700303868,95.11923558030007,0.121308577261388,0.2960483974771528,0.2831767280216244,-0.012871669455528367,10
MultiCrop-88,dual_none,"Dual, no penalty",2027,7769,99.74256661088943,0.10297335564422706,0.0,97.68309949800489,97.72171450637147,0.03861500836657683,95.2619521305462,95.37001730656533,0.10806517601912446,0.2960483974771528,0.2574333891105676,-0.03861500836658516,8
MultiCrop-88,dual_none,"Dual, no penalty",2028,7769,99.6782082636118,0.07723001673317029,0.0,97.65735615909384,97.69597116746041,0.03861500836657683,95.01321898236993,95.20650228002673,0.19328329765679086,0.3604067447547947,0.32179173638820957,-0.0386150083665851,6
